ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,profit_margin,free_cash_flow,roe,revenue_growth,current_ratio
CAT,Caterpillar Inc.,Industrials,S&P 500,393297821696,855.6,2685497388.0,NYQ,EQUITY,0.14511,5048999936,0.56972003,0.24,1.368
CBRE,CBRE Group,Real Estate,S&P 500,42683396096,147.4,243286648.0,NYQ,EQUITY,0.029760001,1637624960,0.15798001,0.155,1.141
CDW,CDW Corporation,Information Technology,S&P 500,17086131200,136.67,306038297.5,NMS,EQUITY,0.04597,676787520,0.44009998,0.1,1.167
CF,CF Industries,Materials,S&P 500,18162089984,120.01,300268620.3,NYQ,EQUITY,0.27122,1276749952,0.29867,0.176,4.86
CVX,Chevron Corporation,Energy,S&P 500,385651212288,196.6,1645500714.0,NYQ,EQUITY,0.09834,21934000128,0.12231,0.535,1.252
CHD,Church & Dwight,Consumer Staples,S&P 500,24014522368,101.24,217691310.0,NYQ,EQUITY,0.119569995,939262528,0.17041,0.016,1.147
CIEN,Ciena,Information Technology,S&P 500,61157941248,432.05,876110990.0,NYQ,EQUITY,0.0787,700927872,0.15464,0.395,2.727
CINF,Cincinnati Financial,Financials,S&P 500,26470359040,172.47,109532247.6,NMS,EQUITY,0.23843001,2984875008,0.21484,0.316,1.151
CTAS,Cintas,Industrials,S&P 500,81438507008,203.51,424696878.6,NMS,EQUITY,0.17754,1464424832,0.40714002,0.089,1.434
CME,CME Group,Financials,S&P 500,94270898176,262.17,502157796.3,NMS,EQUITY,0.63443,2909012480,0.15802,0.008,1.018
KO,Coca-Cola Company (The),Consumer Staples,S&P 500,373074034688,86.71,1349726125.8,NYQ,EQUITY,0.28558,5218749952,0.42054,0.067,1.305
CTSH,Cognizant,Information Technology,S&P 500,27528599552,58.2,608427456.0,NMS,EQUITY,0.10258,2215500032,0.14924,0.045,2.182
CL,Colgate-Palmolive,Consumer Staples,S&P 500,73594994688,92.32,452724355.2,NYQ,EQUITY,0.096829996,3458374912,2.67367,0.049,1.026
FIX,Comfort Systems USA,Industrials,S&P 500,61196599296,1738.82,728252592.4,NYQ,EQUITY,0.12775,1841915392,0.55292,0.01,1.214
COP,ConocoPhillips,Energy,S&P 500,152930271232,127.3,885610824.0,NYQ,EQUITY,0.144,7691375104,0.1418,0.355,1.542
CPRT,Copart,Industrials,S&P 500,27926310912,28.99,258901282.9,NMS,EQUITY,0.33481997,999977152,0.17607,0.021,7.613
GLW,Corning Inc.,Information Technology,S&P 500,143937765376,167.44,2031425614.4,NYQ,EQUITY,0.111999996,734499968,0.16813,0.166,1.813
COST,Costco,Consumer Staples,S&P 500,421116411904,949.575,1753978974.0,NMS,EQUITY,0.0301,6954375168,0.29152,0.215,1.072
CRH,CRH plc,Materials,S&P 500,65191223296,97.99,511429408.0,NYQ,EQUITY,0.099350005,2019124992,0.15812,0.056,1.579
CMI,Cummins,Industrials,S&P 500,88016322560,637.85,702355770.5,NYQ,EQUITY,0.07822,2229374976,0.21114,0.094,1.727
DVA,DaVita,Health Care,S&P 500,11649577984,181.5,267828660.0,NYQ,EQUITY,0.060489997,1042460032,0.88475,0.052,1.467
DECK,Deckers Brands,Consumer Discretionary,S&P 500,12419784704,91.2,193567440.0,NYQ,EQUITY,0.18361,871420352,0.42558,0.057,2.747
DXCM,Dexcom,Health Care,S&P 500,34264358912,90.8,604259472.0,NMS,EQUITY,0.20118,1021162496,0.38491002,0.131,1.733
DG,Dollar General,Consumer Staples,S&P 500,26382161920,119.6,222868620.0,NYQ,EQUITY,0.03632,1882562304,0.1891,0.034,1.169
DLTR,Dollar Tree,Consumer Staples,S&P 500,24715575296,128.61,228834486.90000004,NMS,EQUITY,0.06514,1443624960,0.33976,0.072,1.161
DOV,Dover Corporation,Industrials,S&P 500,28022915072,208.07,218669085.8,NYQ,EQUITY,0.13475999,906472128,0.14914,0.069,1.979
DHI,D. R. Horton,Consumer Discretionary,S&P 500,40786042880,145.82,317883225.4,NYQ,EQUITY,0.09154,2413900032,0.12632,0.0,6.011
ETN,Eaton Corporation,Industrials,S&P 500,178602459136,459.96,1180243561.2,NYQ,EQUITY,0.12752,3106125056,0.19684,0.214,1.24
EBAY,eBay Inc.,Consumer Discretionary,S&P 500,45527949312,102.31,508912448.2,NMS,EQUITY,0.18571,1579624960,0.46611,0.148,1.019
ECL,Ecolab,Materials,S&P 500,78051893248,278.43,337142534.1,NYQ,EQUITY,0.12566,1474824960,0.21956,0.097,1.841
ELV,Elevance Health,Health Care,S&P 500,86561210368,399.14,395364135.6,NYQ,EQUITY,0.02468,4306375168,0.11133,0.014,1.518
EME,Emcor,Industrials,S&P 500,36761190400,833.4,378563616.0,NYQ,EQUITY,0.07738,978281600,0.40348998,0.198,1.277
EOG,EOG Resources,Energy,S&P 500,76240445440,143.14,460711835.4,NYQ,EQUITY,0.25733,4478750208,0.22507,0.587,1.851
EQIX,Equinix,Real Estate,S&P 500,105496813568,1069.17,731889631.8000001,NMS,EQUITY,0.15479,3776000000,0.10735,0.167,1.131
ERIE,Erie Indemnity,Financials,S&P 500,13499675648,258.17,77373549.0,NMS,EQUITY,0.14007,481207744,0.24808,0.028,1.246
EXPD,Expeditors International,Industrials,S&P 500,23979370496,184.47,252135440.7,NYQ,EQUITY,0.07634,797562240,0.4267,0.321,1.566
XOM,ExxonMobil,Energy,S&P 500,656877944832,159.75,2335811782.5,NYQ,EQUITY,0.09072,20671000576,0.12584,0.441,1.135
FFIV,"F5, Inc.",Information Technology,S&P 500,23950469120,422.95,308004878.5,NMS,EQUITY,0.21952999,717135488,0.1983,0.109,1.665
FAST,Fastenal,Industrials,S&P 500,59922325504,52.22,447084663.2,NMS,EQUITY,0.15454,916124992,0.34334,0.147,4.18
FDX,FedEx,Industrials,S&P 500,77307633664,326.77,481966143.8,NYQ,EQUITY,0.0468,5656625152,0.14846,0.125,1.475
FLEX,Flex Ltd.,Information Technology,S&P 500,46001754112,124.53,541162549.2,NMS,EQUITY,0.03325,625750016,0.18378,0.206,1.38
FTNT,Fortinet,Information Technology,S&P 500,118010503168,160.84,926327420.4,NMS,EQUITY,0.28173,2265587456,1.17442,0.256,1.282
FOXA,Fox Corporation (Class A),Communication Services,S&P 500,26458941440,63.05,330920447.0,NMS,EQUITY,0.09839,555374976,0.14291,0.281,3.169
FOX,Fox Corporation (Class B),Communication Services,S&P 500,23487819776,55.97,61553567.2,NMS,EQUITY,0.09839,555374976,0.14291,0.281,3.169
GRMN,Garmin,Consumer Discretionary,S&P 500,59781570560,309.98,283383716.0,NYQ,EQUITY,0.24471001,1043656256,0.21886998,0.114,3.028
GEHC,GE HealthCare,Health Care,S&P 500,32879577088,72.28,281796590.4,NMS,EQUITY,0.093339995,1573124992,0.19376,0.058,1.264
GD,General Dynamics,Industrials,S&P 500,106656342016,394.21,384303502.7,NYQ,EQUITY,0.08179,4400124928,0.17803,0.081,1.441
HAL,Halliburton,Energy,S&P 500,27810392064,33.29,335554211.7,NYQ,EQUITY,0.0716,2052249984,0.14917,0.037,2.018
HIG,Hartford (The),Financials,S&P 500,37676539904,137.44,205023371.2,NYQ,EQUITY,0.1489,5507500032,0.22061001,0.081,1.772
HAS,Hasbro,Consumer Discretionary,S&P 500,13383708672,94.89,173931472.2,NMS,EQUITY,0.15968001,688150016,1.5956,0.162,1.661
HSY,Hershey Company (The),Consumer Staples,S&P 500,37016535040,184.23,275888109.6,NYQ,EQUITY,0.12242,1743636352,0.32808998,0.066,1.18
HD,Home Depot (The),Consumer Discretionary,S&P 500,342439755776,343.43,1284383554.1,NYQ,EQUITY,0.08411,10128249856,1.2838,0.048,1.045
HON,Honeywell Technologies,Industrials,S&P 500,74588659712,235.34,812195994.4,NMS,EQUITY,0.21581,2610374912,0.46577,0.043,1.211
HST,Host Hotels & Resorts,Real Estate,S&P 500,15839762432,22.8,265737420.0,NMS,EQUITY,0.16474001,1692375040,0.15558,0.036,1.671
HWM,Howmet Aerospace,Industrials,S&P 500,112314441728,281.63,599615616.7,NYQ,EQUITY,0.20522,1189874944,0.34732,0.241,1.818
HUBB,Hubbell Incorporated,Industrials,S&P 500,27102547968,512.9,295528363.9,NYQ,EQUITY,0.14491999,495812512,0.24444,0.153,1.609
IEX,IDEX Corporation,Industrials,S&P 500,17731108864,240.52,167587120.4,NYQ,EQUITY,0.1449,555612480,0.12955,0.064,3.049
IDXX,Idexx Laboratories,Health Care,S&P 500,45009063936,570.58,434154322.00000006,NMS,EQUITY,0.25030002,909368384,0.74211,0.097,1.172
ITW,Illinois Tool Works,Industrials,S&P 500,83306848256,292.51,344606031.0,NYQ,EQUITY,0.19393998,2432999936,1.04618,0.061,1.109
INCY,Incyte,Health Care,S&P 500,24479805440,120.77,207345182.2,NMS,EQUITY,0.27706,1180664576,0.30667,0.377,4.593
PODD,Insulet Corporation,Health Care,S&P 500,10060520448,145.06,319567180.0,NMS,EQUITY,0.12291,236900000,0.26016,0.235,2.485
ICE,Intercontinental Exchange,Financials,S&P 500,84955832320,151.33,694627399.5,NYQ,EQUITY,0.38246,3633625088,0.14094,0.048,1.012
INTU,Intuit,Information Technology,S&P 500,91555561472,334.71,1106223244.2,NMS,EQUITY,0.21907,5232000000,0.22496,0.104,1.453
ISRG,Intuitive Surgical,Health Care,S&P 500,143766224896,401.27,1264377693.8,NMS,EQUITY,0.28445998,2615200000,0.17423001,0.185,4.963
JBHT,J.B. Hunt,Industrials,S&P 500,25912643584,275.96,222804584.8,NMS,EQUITY,0.05311,903028352,0.18448,0.194,1.255
JKHY,Jack Henry & Associates,Financials,S&P 500,10821744640,152.31,130400206.5,NMS,EQUITY,0.20637,373407744,0.24892001,0.087,1.744
JNJ,Johnson & Johnson,Health Care,S&P 500,628646084608,260.86,1823839210.4,NYQ,EQUITY,0.21482,16885125120,0.25742,0.066,1.089
JCI,Johnson Controls,Industrials,S&P 500,92551233536,152.79,561443661.9,NYQ,EQUITY,0.14319,2984124928,0.14332,0.093,1.0
KVUE,Kenvue,Consumer Staples,S&P 500,36456280064,18.98,416843884.6,NYQ,EQUITY,0.107609995,1907500032,0.15581,0.03,1.005
KEYS,Keysight Technologies,Information Technology,S&P 500,60582404096,354.5,355549320.0,NYQ,EQUITY,0.17312999,1085750016,0.18174,0.315,1.903
KLAC,KLA Corporation,Information Technology,S&P 500,272088367104,208.25,2438438817.5,NMS,EQUITY,0.35574,2624587520,0.87496,0.152,2.876
LH,Labcorp,Health Care,S&P 500,26234228736,323.48,218484861.6,NYQ,EQUITY,0.069860004,892049984,0.11728,0.058,1.796
LRCX,Lam Research,Information Technology,S&P 500,408068259840,326.11,3478103377.3,NMS,EQUITY,0.31272,3090484480,0.65066004,0.3,2.629
LDOS,Leidos,Industrials,S&P 500,17657763840,140.38,265705648.8,NYQ,EQUITY,0.07803,1146625024,0.27781,0.072,1.629
LII,Lennox International,Industrials,S&P 500,14546933760,420.91,274227074.1,NYQ,EQUITY,0.14871,277737504,0.71757007,0.03,1.569
LLY,Lilly (Eli),Health Care,S&P 500,1087705186304,1220.28,3999333469.2,NYQ,EQUITY,0.33528998,11065900032,1.02286,0.477,1.355
LMT,Lockheed Martin,Industrials,S&P 500,140025364480,606.72,664006502.4,NYQ,EQUITY,0.08163,5562625024,0.89165,0.105,1.193
LULU,Lululemon Athletica,Consumer Discretionary,S&P 500,13725262848,120.87,279990520.2,NMS,EQUITY,0.13029,1133960960,0.32027,0.043,2.226
MPC,Marathon Petroleum,Energy,S&P 500,101666938880,348.25,873870690.0,NYQ,EQUITY,0.05549,9249375232,0.42099,0.537,1.25
MRSH,Marsh McLennan,Financials,S&P 500,90126123008,188.86,390704125.0,NYQ,EQUITY,0.14241,4785249792,0.25902998,0.062,1.139
MRVL,Marvell Technology,Information Technology,S&P 500,194838953984,217.08,4885795681.2,NMS,EQUITY,0.28986,2269700096,0.16028,0.276,3.278
MA,Mastercard,Financials,S&P 500,490329014272,559.73,1862059388.3,NYQ,EQUITY,0.46339,16961250304,2.41202,0.141,1.061
META,Meta Platforms,Communication Services,S&P 500,1474623832064,578.85,11150532262.5,NMS,EQUITY,0.29834998,21553625088,0.29848,0.28,2.226
MGM,MGM Resorts,Consumer Discretionary,S&P 500,11065049088,43.98,127290434.4,NYQ,EQUITY,0.02398,878991104,0.18924999,0.01,1.335
MU,Micron Technology,Information Technology,S&P 500,1029204672512,911.29,36145005592.4,NMS,EQUITY,0.55906,7639499776,0.66638,3.457,3.425
MSFT,Microsoft,Information Technology,S&P 500,3656561459200,492.43,23130126502.0,NMS,EQUITY,0.40305,16545500160,0.34039003,0.177,1.23
MPWR,Monolithic Power Systems,Information Technology,S&P 500,70029262848,1425.01,1308059429.3,NMS,EQUITY,0.24500999,444316128,0.21979,0.476,4.975
MNST,Monster Beverage,Consumer Staples,S&P 500,90077200384,45.98,542679409.8,NMS,EQUITY,0.23079,1681231104,0.25704,0.202,3.729
MCO,Moody's Corporation,Financials,S&P 500,82752806912,477.84,361371278.4,NYQ,EQUITY,0.34252,2579124992,0.76932,0.151,1.19
MSI,Motorola Solutions,Information Technology,S&P 500,77739048960,469.74,460110330.0,NYQ,EQUITY,0.17438999,1979000064,0.91567004,0.133,1.099
NDAQ,"Nasdaq, Inc.",Financials,S&P 500,53471776768,95.66,297046301.8,NMS,EQUITY,0.35037,1691500032,0.16521999,0.149,1.006
NTAP,NetApp,Information Technology,S&P 500,39585619968,202.05,504900724.5,NMS,EQUITY,0.18426001,1295250048,1.06734,0.125,1.436
NFLX,Netflix,Communication Services,S&P 500,309005942784,74.21,2412270260.0,NMS,EQUITY,0.28219,25387552768,0.49541,0.134,1.142
NEM,Newmont,Materials,S&P 500,124167094272,117.84,905211528.0,NYQ,EQUITY,0.33363998,8815875072,0.25905,0.151,2.546
NDSN,Nordson Corporation,Industrials,S&P 500,17342769152,311.26,92164086.0,NMS,EQUITY,0.18188,574589504,0.1714,0.085,2.597
NOC,Northrop Grumman,Industrials,S&P 500,82015830016,577.32,371107069.2000001,NYQ,EQUITY,0.104820006,2478000128,0.26958,0.051,1.168
NUE,Nucor,Materials,S&P 500,61667078144,271.81,367443630.4,NYQ,EQUITY,0.07989,683374976,0.14548999,0.23,2.508
NVDA,Nvidia,Information Technology,S&P 500,5427683655680,224.09,27692168249.0,NMS,EQUITY,0.62966,46335873024,1.14288,0.852,3.441
NXPI,NXP Semiconductors,Information Technology,S&P 500,58857639936,233.41,1100537486.4,NMS,EQUITY,0.22564,3555000064,0.27921,0.195,2.04
OXY,Occidental Petroleum,Energy,S&P 500,58528768000,58.55,508961098.0,NYQ,EQUITY,0.30318,3788124928,0.10629,0.534,1.411
ODFL,Old Dominion,Industrials,S&P 500,44073652224,212.55,414330091.5,NMS,EQUITY,0.19443001,970776000,0.24818,0.104,1.889
PCAR,Paccar,Industrials,S&P 500,68985389056,131.06,493357021.6,NMS,EQUITY,0.09003,1943650048,0.12755999,0.005,5.519
PKG,Packaging Corporation of America,Materials,S&P 500,22836783104,256.31,131499845.5,NYQ,EQUITY,0.07256,432950016,0.14887,0.147,2.941
PLTR,Palantir Technologies,Information Technology,S&P 500,411019083776,171.04,10736514328.0,NMS,EQUITY,0.49005002,2159104512,0.38097,0.928,7.228
PH,Parker Hannifin,Industrials,S&P 500,134851919872,1069.52,806033052.8,NYQ,EQUITY,0.16968,2952624896,0.25076,0.098,1.262
PYPL,PayPal,Financials,S&P 500,51030401024,59.2,542103872.0,NMS,EQUITY,0.14364,4423124992,0.24497,0.048,1.288
PSX,Phillips 66,Energy,S&P 500,90011140096,225.58,637004083.0,NYQ,EQUITY,0.046609998,4545375232,0.23452999,0.531,1.32
PPG,PPG Industries,Materials,S&P 500,25475579904,114.6,203288940.0,NYQ,EQUITY,0.09573,1104625024,0.19297001,0.072,1.58
PFG,Principal Financial Group,Financials,S&P 500,24358684672,113.77,156170941.29999998,NMS,EQUITY,0.09932999,1056374976,0.12949,0.064,1.586
PWR,Quanta Services,Industrials,S&P 500,101935833088,678.02,848596271.6,NYQ,EQUITY,0.04032,1955491328,0.15337,0.411,1.098
DGX,Quest Diagnostics,Health Care,S&P 500,26243473408,237.77,186502032.6,NYQ,EQUITY,0.09187,909625024,0.14602,0.102,1.591
RL,Ralph Lauren Corporation,Consumer Discretionary,S&P 500,23615420416,396.35,286842458.5,NYQ,EQUITY,0.117639996,880087488,0.37537,0.14,2.045
RTX,RTX Corporation,Industrials,S&P 500,300226576384,222.76,985020216.4,NYQ,EQUITY,0.08276,9880000512,0.12274,0.145,1.011
REGN,Regeneron Pharmaceuticals,Health Care,S&P 500,82157051904,797.99,731014699.3,NMS,EQUITY,0.27865,3065299968,0.14043,0.167,3.335
RMD,ResMed|,Health Care,S&P 500,32782743552,226.0,386785440.0,NYQ,EQUITY,0.26945,939248256,0.24269,0.086,3.1
ROK,Rockwell Automation,Industrials,S&P 500,50126262272,451.39,512837720.7,NYQ,EQUITY,0.13385001,1303874944,0.30629,0.079,1.075
ROST,Ross Stores,Consumer Discretionary,S&P 500,79633907712,248.25,502299120.0,NMS,EQUITY,0.097399995,2047583488,0.38981998,0.206,1.541
SNDK,Sandisk,Information Technology,S&P 500,196266344448,1344.29,21072256580.2,NMS,EQUITY,0.56465,7744875008,0.9164,3.716,2.29
SLB,Schlumberger,Energy,S&P 500,78080778240,52.61,550047019.8,NYQ,EQUITY,0.08527,2955124992,0.12909001,0.05,1.439
STX,Seagate Technology,Information Technology,S&P 500,199353679872,878.21,4532810658.2,NMS,EQUITY,0.26108998,1943750016,3.7152898,0.485,1.67
SNA,Snap-on,Industrials,S&P 500,21127426048,408.44,139747746.0,NYQ,EQUITY,0.19597,1109474944,0.17932,0.042,3.433
SOLV,Solventum,Health Care,S&P 500,14518381568,85.29,114663023.1,NYQ,EQUITY,0.17256,489000000,0.33960998,0.022,1.021
STLD,Steel Dynamics,Materials,S&P 500,37721088000,263.18,273107149.6,NMS,EQUITY,0.07825,234191248,0.17568001,0.334,3.183
STE,Steris,Health Care,S&P 500,23068526592,236.6,200000346.0,NYQ,EQUITY,0.13333,798862528,0.11389,0.073,1.906
SYK,Stryker Corporation,Health Care,S&P 500,133180399616,347.21,839168376.9,NYQ,EQUITY,0.14433,4107624960,0.16508,0.094,2.157
SYY,Sysco,Consumer Staples,S&P 500,40544518144,84.69,393505309.8,NYQ,EQUITY,0.02078,1953124992,0.77692,0.047,1.277
TROW,T. Rowe Price,Financials,S&P 500,23767652352,111.42,253576321.2,NMS,EQUITY,0.29262,2023912448,0.19399999,0.107,4.039
TPR,"Tapestry, Inc.",Consumer Discretionary,S&P 500,31062355968,153.74,349721602.40000004,NYQ,EQUITY,0.19086,1364899968,1.97135,0.089,1.752
TEL,TE Connectivity,Information Technology,S&P 500,62105292800,214.2,453557790.0,NYQ,EQUITY,0.15609,2336875008,0.23290001,0.138,1.876
TER,Teradyne,Information Technology,S&P 500,62964674560,402.74,1394233523.8,NMS,EQUITY,0.25766,437381248,0.36465,1.039,2.125
TXN,Texas Instruments,Information Technology,S&P 500,252595175424,276.59,1869056925.0,NMS,EQUITY,0.31111,3545250048,0.35176,0.228,4.857
TXT,Textron,Industrials,S&P 500,15456991232,88.89,138999070.8,NYQ,EQUITY,0.06125,452750016,0.12126,0.03,1.861
TMO,Thermo Fisher Scientific,Health Care,S&P 500,222961319936,603.01,1111793657.4,NYQ,EQUITY,0.15036,6237250048,0.13515,0.105,1.551
TJX,TJX Companies,Consumer Discretionary,S&P 500,168588935168,152.61,791705579.7,NYQ,EQUITY,0.09402,4314250240,0.6125,0.092,1.139
TTD,Trade Desk (The),Communication Services,S&P 500,6338683904,13.49,574458429.8,NGM,EQUITY,0.13608,582992768,0.15441,0.03,1.724
TSCO,Tractor Supply,Consumer Discretionary,S&P 500,18981492736,36.43,495809385.6,NMS,EQUITY,0.06425,103175000,0.39513,0.023,1.334
TT,Trane Technologies,Industrials,S&P 500,105292095488,478.55,648889872.5,NYQ,EQUITY,0.13278,3121687552,0.36643,0.106,1.073
ULTA,Ulta Beauty,Consumer Discretionary,S&P 500,22865586176,531.89,294087299.9,NMS,EQUITY,0.09355,973080128,0.47449002,0.111,1.311
UPS,United Parcel Service,Industrials,S&P 500,88404713472,103.91,564741498.1,NYQ,EQUITY,0.050819997,5557749760,0.29602,0.076,1.179
UHS,Universal Health Services,Health Care,S&P 500,10163602432,172.45,140893374.5,NYQ,EQUITY,0.08424,498316992,0.20948,0.083,1.116
VLO,Valero Energy,Energy,S&P 500,95076524032,330.21,974667648.6,NYQ,EQUITY,0.05446,8416374784,0.27637,0.517,1.636
VEEV,Veeva Systems,Health Care,S&P 500,39231680512,241.51,457516544.0,NYQ,EQUITY,0.28370002,1259549056,0.13934,0.163,4.738
VLTO,Veralto,Industrials,S&P 500,23567501312,96.67,139926924.9,NYQ,EQUITY,0.17346,807124992,0.34312,0.075,1.775
VRTX,Vertex Pharmaceuticals,Health Care,S&P 500,133167407104,525.73,732242001.3000001,NMS,EQUITY,0.34997,2627887616,0.23542999,0.125,3.185
VRT,Vertiv,Industrials,S&P 500,111015182336,288.36,1908106956.0,NYQ,EQUITY,0.15088001,2696537600,0.43943,0.241,1.379
VMC,Vulcan Materials Company,Materials,S&P 500,36331286528,280.38,325947357.6,NYQ,EQUITY,0.13748,843600000,0.13234,0.025,1.757
GWW,W. W. Grainger,Industrials,S&P 500,61607456768,1304.88,441427855.2000001,NYQ,EQUITY,0.09923001,1247750016,0.46091,0.103,2.805
WAB,Wabtec,Industrials,S&P 500,49919913984,295.54,269594543.40000004,NYQ,EQUITY,0.10593,1101374976,0.11553001,0.175,1.121
WST,West Pharmaceutical Services,Health Care,S&P 500,24792676352,352.29,197190804.6,NYQ,EQUITY,0.1698,277937504,0.19087,0.138,2.822
WDC,Western Digital,Information Technology,S&P 500,156520169472,454.1,4120230940.0,NMS,EQUITY,0.72947,2318500096,1.30853,0.438,1.329
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,S&P 500,28865581056,245.15,229609941.5,NYQ,EQUITY,0.1381,885462144,0.54007,0.044,1.331
WTW,Willis Towers Watson,Financials,S&P 500,31603392512,340.29,207767462.4,NMS,EQUITY,0.15492,1415624960,0.19761999,0.091,1.098
